EW,NS,CCD
1.78967,0.953951,40
1.789741,0.090586,40
-0.9259440000000001,0.954699,41
-0.9259069999999999,1.818096,41
-0.062544,1.818309,41
-0.062547,0.9548770000000001,41
-1.7893419999999998,0.954519,42
-1.7892700000000001,1.817884,42
-0.9259069999999999,1.818096,42
-0.9259440000000001,0.954699,42
-1.7894130000000001,0.091155,43
-1.7893419999999998,0.954519,43
-0.9259440000000001,0.954699,43
-0.9259809999999999,0.091301,43
-0.9259809999999999,0.091301,44
-0.9259440000000001,0.954699,44
-0.062547,0.9548770000000001,44
-0.06254900000000001,0.091446,44
-2.783095,0.9543709999999999,45
-2.782984,1.817627,45
-1.919698,1.818266,45
-1.919775,0.954909,45
-3.6464160000000003,0.953834,46
-3.64627,1.816989,46
-2.782984,1.817627,46
-2.783095,0.9543709999999999,46
-3.6465620000000003,0.090679,47
-3.6464160000000003,0.953834,47
-2.783095,0.9543709999999999,47
-2.783207,0.091115,47
-2.783207,0.091115,48
-2.783095,0.9543709999999999,48
-1.919775,0.954909,48
-1.9198520000000001,0.091552,48
2.782814,2.866333,49
2.782478,3.729505,49
3.645543,3.727789,49
3.645983,2.864718,49
1.919645,2.867948,50
1.919413,3.731221,50
2.782478,3.729505,50
2.782814,2.866333,50
1.919878,2.004674,51
1.919645,2.867948,51
2.782814,2.866333,51
2.7831509999999997,2.003161,51
2.7831509999999997,2.003161,52
2.782814,2.866333,52
3.645983,2.864718,52
3.6464239999999997,2.001648,52
0.926383,2.866646,53
0.926272,3.7299620000000004,53
1.7894150000000002,3.7293910000000006,53
1.7896299999999998,2.866109,53
0.063136,2.867184,54
0.063128,3.7305330000000003,54
0.926272,3.7299620000000004,54
0.926383,2.866646,54
0.06314299999999999,2.003834,55
0.063136,2.867184,55
0.926383,2.866646,55
0.926494,2.00333,55
0.926494,2.00333,56
0.926383,2.866646,56
1.7896299999999998,2.866109,56
1.7898450000000001,2.0028259999999998,56
-0.925905,2.867514,57
-0.925794,3.730829,57
-0.062651,3.7314010000000004,57
-0.062659,2.868051,57
-1.789152,2.8669759999999997,58
-1.788937,3.730258,58
-0.925794,3.730829,58
-0.925905,2.867514,58
-1.789367,2.003694,59
-1.789152,2.8669759999999997,59
-0.925905,2.867514,59
-0.926017,2.004198,59
-0.926017,2.004198,60
-0.925905,2.867514,60
-0.062659,2.868051,60
-0.062666,2.004701,60
-2.7822430000000002,2.867352,61
-2.781907,3.730524,61
-1.9188419999999997,3.732241,61
-1.9190740000000002,2.868968,61
-3.6454120000000003,2.8657369999999998,62
-3.644972,3.7288080000000003,62
-2.781907,3.730524,62
-2.7822430000000002,2.867352,62
-3.645853,2.0026669999999998,63
-3.6454120000000003,2.8657369999999998,63
-2.7822430000000002,2.867352,63
-2.782579,2.00418,63
-2.782579,2.00418,64
-2.7822430000000002,2.867352,64
-1.9190740000000002,2.868968,64
-1.9193060000000002,2.005694,64
